"TradeDate","Expiry","Strike","SpotIn","PremiumIn","SpotOut","PremiumOut","PnL"
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,46.1,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,50.15,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,62.55,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,62.8,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,68.31,0.04
2018-09-28,2018-09-28,2915,2914.09,0.04,2914.09,78.4,0.04
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,5.29,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,21.1,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,26.64,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,35.85,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,39.81,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,41.05,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,44.2,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,47.2,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,49.44,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,51.85,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,52.3,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,52.8,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,54.6,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,57.8,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,58.3,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,63.21,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,64.4,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,68.5,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,74.46,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,76.55,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,79.85,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,82.75,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,93.6,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,100.89,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,108.75,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,112.6,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,129.11,3.92
2018-10-31,2018-10-31,2710,2711.37,5.29,2711.37,195.15,3.92
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,0.56,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,22.1,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,29.41,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,33.2,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,34.75,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,36.7,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,39.9,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,41.75,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,43.39,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,46.05,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,47.14,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,47,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,48.75,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,50.66,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,52.3,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,53.8,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,55.15,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,56.94,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,62.05,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,66.5,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,72.4,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,75.8,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,85.05,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,91.61,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,98.9,0.56
